"","Drought Mortality, trees greater than 25 cm diameter, 2012-2016"
"Dead tree biomass (metric tons)",307607
"Number of dead trees",219656
"Pre-drought live tree biomass (metric tons)",662454
"Pre-drought number of live trees",464856
"Forested area (ha)",2111
"Post-drought live tree biomass (metric tons)",354847
"Percent loss of live tree biomass",46
"Post-drought number of live trees",245200
"Percent loss of live trees",47
